,dt,A,dA,B,dB,s,ds,tau,dtau
16,1.312857142857143,1.0011078423317092,0.09922745076579491,0.2745350142071906,0.029500007875284194,0.49085469171543633,0.09984460804757513,1.0170459855948557,0.08508046100649867
17,1.3942857142857144,0.9545022302282119,0.10791959345338395,0.26586115490747075,0.0324343411142175,0.5307749301058466,0.10237431849223869,1.0562189666581312,0.09860148043535669
18,1.4757142857142858,0.9572785123650428,0.11623331534102402,0.23858435248996956,0.03185387345871674,0.5195960416209116,0.11124223480303641,1.0306253493929045,0.09663463195712793
19,1.5571428571428572,0.8810954332181316,0.13233212562017654,0.2448805645600844,0.040091026655450265,0.5920443399341048,0.11235611513329942,1.1084902692024814,0.130123140265316
20,1.6385714285714286,0.8857155311660195,0.13860143011860449,0.2176218232119625,0.03794391529413334,0.5795906258292327,0.11979050682066547,1.0752924647766904,0.12356380880107627
21,1.7200000000000002,0.8830546982685347,0.14070950137221666,0.207809102947527,0.0383996422139688,0.5872319442889667,0.11944372933777266,1.0974432091665218,0.13087544897958614
22,1.8014285714285716,0.8242164152831309,0.16134745920586138,0.21220283142692095,0.046736400367773365,0.6396818297741311,0.12676210331418494,1.1636984262208596,0.16643192011662294
23,1.882857142857143,0.7433797766414163,0.16004679346183712,0.22282590748369482,0.05207903832303622,0.6901399371074071,0.12114501293457051,1.2632303555185962,0.20322707916411292
24,1.9642857142857144,0.7318802012810329,0.18015595306336568,0.20009132578172567,0.05414022127360324,0.7064083423691794,0.13115907089972928,1.2221014684709677,0.20696005494206596
25,2.045714285714286,0.6855257422424323,0.18984087389125845,0.20239982670862794,0.0594973616447393,0.7335246536447648,0.13405888092836926,1.2840446590177235,0.23829230598296075
26,2.127142857142857,0.6908834661013603,0.19618504771214088,0.19425794878782213,0.061246305669737766,0.7323032996376517,0.13798608843731808,1.3002978574364072,0.2527339334234814
27,2.2085714285714286,0.5513223139723308,0.20995165374171462,0.22302151219145888,0.08100036812324002,0.8185547920454498,0.14038531144375693,1.4788851647510346,0.3655981042994034
28,2.29,0.538862012850336,0.2245433787189294,0.2131520270487413,0.08598497461785619,0.8265476764789573,0.1476884268029386,1.486863358524609,0.39683846236982034
29,2.3714285714285714,0.5262953675993642,0.1993878825514224,0.19982163554160964,0.07531256514116827,0.8408639453344036,0.12521199958683663,1.4750787872977802,0.34850103509702557
30,2.452857142857143,0.44843775582722856,0.2214173760101119,0.21675382367337845,0.09373694827604123,0.8826157971691275,0.13558016385087399,1.6103366411223163,0.4630652154112502
31,2.5342857142857143,0.40013634846603685,0.20271592841652747,0.23821635247279205,0.09847496392604807,0.9176758533199884,0.12072845614781658,1.780747315467751,0.5269325344404389
32,2.6157142857142857,0.4190844567431256,0.21118856625842092,0.21722911258198235,0.08901418411030773,0.9002517498942266,0.1312731475979696,1.7246628058688631,0.47220658344200245
33,2.697142857142857,0.4109474438309958,0.1971859211101858,0.20964337748425196,0.0882755779624195,0.9006096977027154,0.12051222422993464,1.7326325293176599,0.4734815164196025
34,2.7785714285714285,0.34267518887760723,0.17249277175569347,0.21612718215877083,0.089427961655081,0.9444591652503671,0.09906879388335524,1.828772673618198,0.5018447023719109
35,2.86,0.31419125452407815,0.18065240906085395,0.22441282378284422,0.0954152274882051,0.959105232501879,0.10618987538358,1.9314192780040227,0.5665784798615972
36,2.9414285714285717,0.3155108393477307,0.1702565444271464,0.2054301584189237,0.09087815809976571,0.9642829855148045,0.09736365911144942,1.8684282901955356,0.5372432206568334
